title,description,street,city,state,postal_code,country,lat,lng,phone,fax,email,website,is_disabled,logo_name,categories,marker_id,logo_image,description_2,open_hours,update_id,order
Amanda Food Court,not available,45 North Street,Uitenhage,Eastern Cape,5043,South Africa,-33.749771,25.405823,041 111 3964,,,,,Default,Restaurants,1,,,,,
Aqua Food Store,not available,"26 Northriding, Lorraine Manor",Port Elizabeth,Eastern Cape,1234,South Africa,-33.97506,25.513332,213 882 8888,,,,,Default,Restaurants,1,,,"mon=1|tue=0|wed=7:00 AM-9:00PM|thu=0|fri=7:00 AM-9:00PM,7:00 AM-9:00PM",,
Astro Club,not available,"15 Heartly Road, Parsons Hill",Port Elizabeth,Eastern Cape,45553,South Africa,-33.947128,25.591169,123 226 2222,,,,,Default,Fitness | Nightlife,1,,,,,
Barry Mason Pool Services,not available,"34 Saddlewood, Louis Michael Drive, Lovemore Heights",Port Elizabeth,Eastern Cape,33422,South Africa,-33.99213,25.531601,123 888 5555,,,,,Default -1,Local Services,1,test.jpg,,,,
Bid-Bon Development,not available,"274 Kragga Kamma Road, Lorraine",Port Elizabeth,Eastern Cape,23452,South Africa,-33.96524,25.50242,041 888 3534,,,,,Default,Local Services,1,,,,,
Deon'S Pool Maintenance Servics,not available,"1 Demurville, Lorraine",Port Elizabeth,Eastern Cape,23455,South Africa,-33.968891,25.52002,072 888 1607,,,,,Default,Local Services,1,,cool description,mon=1|tue=0|wed=1|thu=0|fri=1,,
East Coast Pools,not available,"17 Reith Street, Sidwell",Port Elizabeth,Eastern Cape,5043,South Africa,-33.92194,25.595169,041 888 4916,,,,,Default,Local Services,1,,,,,
Mica Food Court,not available,48 Church Street,Graaf Reinet,Eastern Cape,1234,South Africa,-32.253212,24.536243,049 888 2640,,,,,Default,Restaurants,1,,,,,
Haggie's Swimpool Services & Supplies ,not available,50 Mosel Road,Uitenhage,Eastern Cape,45553,South Africa,-33.752365,25.404612,041 888 6343,,,,,Default,Local Services,1,,,,,
Heritage Rock Hotel,not available,"Idle  Wydle, Sardinia Bay Road, Lovemore Park",Port Elizabeth,Eastern Cape,33422,South Africa,-34.014511,25.523298,082 888 9282,,,,,Default,Local Services,1,,additional description,,,
Norman's Hotel,not available,15 Vincent Road,East London,Eastern Cape,23452,South Africa,-32.978962,27.901928,043 888 8445,,,,,Default,Restaurants,1,,,,,
Pelican Spa,not available,"143 Heugh Road, Walmer",Port Elizabeth,Eastern Cape,23455,South Africa,-33.980839,25.59514,041 888 6453,,,,,Default,Beauty and Spas,1,,,,,
Pool and Spa Centre,not available,"6 Boshof Street, Westering",Port Elizabeth,Eastern Cape,5043,South Africa,-33.944561,25.522751,041 888 8005,,,,,Default,Fitness,1,,,,,
